,NAME,GEO_ID,MEDIAN_HOUSEHOLD_INCOME_2010,MEDIAN_RENT_2010,state,county,tract
26,"Census Tract 415, Bronx County, New York",36005041500,30594,1787,36,005,041500
27,"Census Tract 418, Bronx County, New York",36005041800,42703,916,36,005,041800
28,"Census Tract 419, Bronx County, New York",36005041900,33426,2244,36,005,041900
29,"Census Tract 420, Bronx County, New York",36005042000,51193,1069,36,005,042000
30,"Census Tract 421, Bronx County, New York",36005042100,35659,2173,36,005,042100
31,"Census Tract 422, Bronx County, New York",36005042200,49052,631,36,005,042200
32,"Census Tract 423, Bronx County, New York",36005042300,37730,1212,36,005,042300
33,"Census Tract 424, Bronx County, New York",36005042400,65952,305,36,005,042400
34,"Census Tract 425, Bronx County, New York",36005042500,31381,1866,36,005,042500
35,"Census Tract 426, Bronx County, New York",36005042600,68026,479,36,005,042600
36,"Census Tract 428, Bronx County, New York",36005042800,70313,227,36,005,042800
37,"Census Tract 429.01, Bronx County, New York",36005042901,27324,1087,36,005,042901
38,"Census Tract 429.02, Bronx County, New York",36005042902,29347,1148,36,005,042902
39,"Census Tract 430, Bronx County, New York",36005043000,48990,311,36,005,043000
40,"Census Tract 431, Bronx County, New York",36005043100,32027,2798,36,005,043100
41,"Census Tract 434, Bronx County, New York",36005043400,44180,1048,36,005,043400
42,"Census Tract 435, Bronx County, New York",36005043500,17604,20,36,005,043500
43,"Census Tract 436, Bronx County, New York",36005043600,51000,380,36,005,043600
44,"Census Tract 442, Bronx County, New York",36005044200,38900,754,36,005,044200
45,"Census Tract 444, Bronx County, New York",36005044400,58534,632,36,005,044400
46,"Census Tract 448, Bronx County, New York",36005044800,76190,156,36,005,044800
47,"Census Tract 449.01, Bronx County, New York",36005044901,63346,416,36,005,044901
48,"Census Tract 449.02, Bronx County, New York",36005044902,55938,617,36,005,044902
49,"Census Tract 451.01, Bronx County, New York",36005045101,52988,659,36,005,045101
50,"Census Tract 451.02, Bronx County, New York",36005045102,72188,405,36,005,045102
51,"Census Tract 456, Bronx County, New York",36005045600,64688,397,36,005,045600
52,"Census Tract 458, Bronx County, New York",36005045800,26343,2180,36,005,045800
53,"Census Tract 460, Bronx County, New York",36005046000,34273,686,36,005,046000
54,"Census Tract 462.01, Bronx County, New York",36005046201,48005,4734,36,005,046201
55,"Census Tract 462.02, Bronx County, New York",36005046202,36155,1547,36,005,046202
56,"Census Tract 484, Bronx County, New York",36005048400,55577,428,36,005,048400
57,"Census Tract 504, Bronx County, New York",36005050400,-666666666,0,36,005,050400
58,"Census Tract 516, Bronx County, New York",36005051600,64701,770,36,005,051600
59,"Census Tract 1, Bronx County, New York",36005000100,-666666666,0,36,005,000100
60,"Census Tract 2, Bronx County, New York",36005000200,59826,482,36,005,000200
61,"Census Tract 4, Bronx County, New York",36005000400,71968,560,36,005,000400
62,"Census Tract 16, Bronx County, New York",36005001600,30355,1494,36,005,001600
63,"Census Tract 19, Bronx County, New York",36005001900,25093,568,36,005,001900
64,"Census Tract 20, Bronx County, New York",36005002000,24939,2602,36,005,002000
65,"Census Tract 23, Bronx County, New York",36005002300,13756,1951,36,005,002300
66,"Census Tract 24, Bronx County, New York",36005002400,-666666666,0,36,005,002400
67,"Census Tract 25, Bronx County, New York",36005002500,15207,1635,36,005,002500
68,"Census Tract 27.01, Bronx County, New York",36005002701,19450,1006,36,005,002701
69,"Census Tract 27.02, Bronx County, New York",36005002702,19300,1301,36,005,002702
70,"Census Tract 28, Bronx County, New York",36005002800,44036,2160,36,005,002800
71,"Census Tract 31, Bronx County, New York",36005003100,33603,346,36,005,003100
72,"Census Tract 33, Bronx County, New York",36005003300,16021,1064,36,005,003300
73,"Census Tract 35, Bronx County, New York",36005003500,20403,1164,36,005,003500
74,"Census Tract 37, Bronx County, New York",36005003700,23304,62,36,005,003700
75,"Census Tract 38, Bronx County, New York",36005003800,55625,246,36,005,003800
76,"Census Tract 39, Bronx County, New York",36005003900,31566,1767,36,005,003900
77,"Census Tract 40.01, Bronx County, New York",36005004001,44432,220,36,005,004001
78,"Census Tract 41, Bronx County, New York",36005004100,18272,1807,36,005,004100
79,"Census Tract 42, Bronx County, New York",36005004200,35816,2455,36,005,004200
80,"Census Tract 43, Bronx County, New York",36005004300,24594,1365,36,005,004300
81,"Census Tract 44, Bronx County, New York",36005004400,16086,1443,36,005,004400
82,"Census Tract 46, Bronx County, New York",36005004600,22146,529,36,005,004600
83,"Census Tract 48, Bronx County, New York",36005004800,25168,1208,36,005,004800
84,"Census Tract 50.01, Bronx County, New York",36005005001,28933,1325,36,005,005001
85,"Census Tract 50.02, Bronx County, New York",36005005002,26439,1517,36,005,005002
86,"Census Tract 51, Bronx County, New York",36005005100,16283,1893,36,005,005100
87,"Census Tract 52, Bronx County, New York",36005005200,33750,645,36,005,005200
88,"Census Tract 53, Bronx County, New York",36005005300,14821,1575,36,005,005300
89,"Census Tract 54, Bronx County, New York",36005005400,33672,1333,36,005,005400
90,"Census Tract 56, Bronx County, New York",36005005600,30402,753,36,005,005600
91,"Census Tract 59.02, Bronx County, New York",36005005902,36098,767,36,005,005902
92,"Census Tract 60, Bronx County, New York",36005006000,27574,321,36,005,006000
93,"Census Tract 61, Bronx County, New York",36005006100,37936,809,36,005,006100
94,"Census Tract 62, Bronx County, New York",36005006200,20952,2264,36,005,006200
95,"Census Tract 63, Bronx County, New York",36005006300,28735,1778,36,005,006300
96,"Census Tract 64, Bronx County, New York",36005006400,42596,898,36,005,006400
97,"Census Tract 65, Bronx County, New York",36005006500,21119,1611,36,005,006500
98,"Census Tract 67, Bronx County, New York",36005006700,16745,2151,36,005,006700
99,"Census Tract 68, Bronx County, New York",36005006800,35078,847,36,005,006800
100,"Census Tract 69, Bronx County, New York",36005006900,21316,2042,36,005,006900
101,"Census Tract 70, Bronx County, New York",36005007000,46313,957,36,005,007000
102,"Census Tract 71, Bronx County, New York",36005007100,27303,311,36,005,007100
103,"Census Tract 72, Bronx County, New York",36005007200,39638,1234,36,005,007200
104,"Census Tract 73, Bronx County, New York",36005007300,26364,1226,36,005,007300
105,"Census Tract 74, Bronx County, New York",36005007400,43725,895,36,005,007400
106,"Census Tract 75, Bronx County, New York",36005007500,24291,1091,36,005,007500
107,"Census Tract 76, Bronx County, New York",36005007600,40919,1240,36,005,007600
108,"Census Tract 77, Bronx County, New York",36005007700,38472,356,36,005,007700
109,"Census Tract 78, Bronx County, New York",36005007800,38150,1449,36,005,007800
110,"Census Tract 79, Bronx County, New York",36005007900,16161,2067,36,005,007900
111,"Census Tract 83, Bronx County, New York",36005008300,25172,1734,36,005,008300
112,"Census Tract 84, Bronx County, New York",36005008400,69722,145,36,005,008400
113,"Census Tract 85, Bronx County, New York",36005008500,25783,1353,36,005,008500
114,"Census Tract 86, Bronx County, New York",36005008600,24250,1274,36,005,008600
115,"Census Tract 87, Bronx County, New York",36005008700,24808,1574,36,005,008700
116,"Census Tract 89, Bronx County, New York",36005008900,18387,920,36,005,008900
117,"Census Tract 90, Bronx County, New York",36005009000,24129,831,36,005,009000
118,"Census Tract 92, Bronx County, New York",36005009200,45625,1126,36,005,009200
119,"Census Tract 93, Bronx County, New York",36005009300,31000,1472,36,005,009300
120,"Census Tract 96, Bronx County, New York",36005009600,41597,496,36,005,009600
121,"Census Tract 98, Bronx County, New York",36005009800,52725,1047,36,005,009800
122,"Census Tract 110, Bronx County, New York",36005011000,41641,42,36,005,011000
123,"Census Tract 115.02, Bronx County, New York",36005011502,20536,1292,36,005,011502
124,"Census Tract 117, Bronx County, New York",36005011700,11250,544,36,005,011700
125,"Census Tract 118, Bronx County, New York",36005011800,74607,394,36,005,011800
126,"Census Tract 119, Bronx County, New York",36005011900,20253,1712,36,005,011900
127,"Census Tract 121.01, Bronx County, New York",36005012101,38750,764,36,005,012101
128,"Census Tract 121.02, Bronx County, New York",36005012102,11396,490,36,005,012102
129,"Census Tract 123, Bronx County, New York",36005012300,13981,1082,36,005,012300
130,"Census Tract 125, Bronx County, New York",36005012500,32550,861,36,005,012500
131,"Census Tract 127.01, Bronx County, New York",36005012701,15938,618,36,005,012701
132,"Census Tract 129.01, Bronx County, New York",36005012901,18142,947,36,005,012901
133,"Census Tract 130, Bronx County, New York",36005013000,85929,236,36,005,013000
134,"Census Tract 131, Bronx County, New York",36005013100,23596,1233,36,005,013100
135,"Census Tract 132, Bronx County, New York",36005013200,78125,773,36,005,013200
136,"Census Tract 133, Bronx County, New York",36005013300,18514,1896,36,005,013300
137,"Census Tract 135, Bronx County, New York",36005013500,16782,976,36,005,013500
138,"Census Tract 138, Bronx County, New York",36005013800,58291,444,36,005,013800
139,"Census Tract 141, Bronx County, New York",36005014100,18900,879,36,005,014100
140,"Census Tract 143, Bronx County, New York",36005014300,8694,189,36,005,014300
141,"Census Tract 144, Bronx County, New York",36005014400,25844,1714,36,005,014400
142,"Census Tract 145, Bronx County, New York",36005014500,20368,1770,36,005,014500
143,"Census Tract 147.01, Bronx County, New York",36005014701,16892,1853,36,005,014701
144,"Census Tract 147.02, Bronx County, New York",36005014702,15625,1604,36,005,014702
145,"Census Tract 149, Bronx County, New York",36005014900,23767,1349,36,005,014900
146,"Census Tract 151, Bronx County, New York",36005015100,25639,1479,36,005,015100
147,"Census Tract 152, Bronx County, New York",36005015200,45161,423,36,005,015200
148,"Census Tract 153, Bronx County, New York",36005015300,19095,954,36,005,015300
149,"Census Tract 155, Bronx County, New York",36005015500,22250,994,36,005,015500
150,"Census Tract 157, Bronx County, New York",36005015700,24336,910,36,005,015700
151,"Census Tract 158, Bronx County, New York",36005015800,44167,214,36,005,015800
152,"Census Tract 159, Bronx County, New York",36005015900,32400,700,36,005,015900
153,"Census Tract 160, Bronx County, New York",36005016000,73325,488,36,005,016000
154,"Census Tract 161, Bronx County, New York",36005016100,17011,1663,36,005,016100
155,"Census Tract 162, Bronx County, New York",36005016200,66204,189,36,005,016200
156,"Census Tract 163, Bronx County, New York",36005016300,-666666666,0,36,005,016300
157,"Census Tract 164, Bronx County, New York",36005016400,77083,133,36,005,016400
158,"Census Tract 165, Bronx County, New York",36005016500,16480,353,36,005,016500
159,"Census Tract 166, Bronx County, New York",36005016600,85234,313,36,005,016600
160,"Census Tract 167, Bronx County, New York",36005016700,39079,608,36,005,016700
161,"Census Tract 169, Bronx County, New York",36005016900,23355,395,36,005,016900
162,"Census Tract 171, Bronx County, New York",36005017100,-666666666,0,36,005,017100
163,"Census Tract 173, Bronx County, New York",36005017300,15417,1852,36,005,017300
164,"Census Tract 175, Bronx County, New York",36005017500,14446,2333,36,005,017500
165,"Census Tract 177.01, Bronx County, New York",36005017701,19182,1027,36,005,017701
166,"Census Tract 177.02, Bronx County, New York",36005017702,21384,1272,36,005,017702
167,"Census Tract 179.01, Bronx County, New York",36005017901,23045,1482,36,005,017901
168,"Census Tract 179.02, Bronx County, New York",36005017902,19233,1113,36,005,017902
169,"Census Tract 181.01, Bronx County, New York",36005018101,34623,872,36,005,018101
170,"Census Tract 181.02, Bronx County, New York",36005018102,35424,1504,36,005,018102
171,"Census Tract 183.01, Bronx County, New York",36005018301,28630,1644,36,005,018301
172,"Census Tract 183.02, Bronx County, New York",36005018302,32467,1112,36,005,018302
173,"Census Tract 184, Bronx County, New York",36005018400,58750,552,36,005,018400
174,"Census Tract 185, Bronx County, New York",36005018500,22473,1833,36,005,018500
175,"Census Tract 189, Bronx County, New York",36005018900,27294,2337,36,005,018900
176,"Census Tract 193, Bronx County, New York",36005019300,17287,1866,36,005,019300
177,"Census Tract 194, Bronx County, New York",36005019400,40455,544,36,005,019400
178,"Census Tract 195, Bronx County, New York",36005019500,34821,2309,36,005,019500
179,"Census Tract 197, Bronx County, New York",36005019700,24543,2149,36,005,019700
180,"Census Tract 199, Bronx County, New York",36005019900,30880,2479,36,005,019900
181,"Census Tract 200, Bronx County, New York",36005020000,32145,1242,36,005,020000
182,"Census Tract 201, Bronx County, New York",36005020100,31538,1171,36,005,020100
183,"Census Tract 202, Bronx County, New York",36005020200,38333,442,36,005,020200
184,"Census Tract 204, Bronx County, New York",36005020400,39375,776,36,005,020400
185,"Census Tract 205.01, Bronx County, New York",36005020501,23615,2372,36,005,020501
186,"Census Tract 205.02, Bronx County, New York",36005020502,35709,611,36,005,020502
187,"Census Tract 206.01, Bronx County, New York",36005020601,43479,600,36,005,020601
188,"Census Tract 209, Bronx County, New York",36005020900,27440,1568,36,005,020900
189,"Census Tract 210.01, Bronx County, New York",36005021001,47444,2620,36,005,021001
190,"Census Tract 210.02, Bronx County, New York",36005021002,47280,2753,36,005,021002
191,"Census Tract 211, Bronx County, New York",36005021100,25875,1711,36,005,021100
192,"Census Tract 212, Bronx County, New York",36005021200,50578,1738,36,005,021200
193,"Census Tract 213.01, Bronx County, New York",36005021301,21500,376,36,005,021301
194,"Census Tract 213.02, Bronx County, New York",36005021302,26302,1508,36,005,021302
195,"Census Tract 215.01, Bronx County, New York",36005021501,27386,823,36,005,021501
196,"Census Tract 215.02, Bronx County, New York",36005021502,24181,1856,36,005,021502
197,"Census Tract 216.01, Bronx County, New York",36005021601,26016,1166,36,005,021601
198,"Census Tract 216.02, Bronx County, New York",36005021602,46672,1829,36,005,021602
199,"Census Tract 217, Bronx County, New York",36005021700,17722,1518,36,005,021700
200,"Census Tract 218, Bronx County, New York",36005021800,33131,1658,36,005,021800
201,"Census Tract 219, Bronx County, New York",36005021900,35268,459,36,005,021900
202,"Census Tract 220, Bronx County, New York",36005022000,12359,328,36,005,022000
203,"Census Tract 221.01, Bronx County, New York",36005022101,28008,1082,36,005,022101
204,"Census Tract 221.02, Bronx County, New York",36005022102,22092,1541,36,005,022102
205,"Census Tract 222, Bronx County, New York",36005022200,33516,786,36,005,022200
206,"Census Tract 223, Bronx County, New York",36005022300,25597,1823,36,005,022300
207,"Census Tract 224.01, Bronx County, New York",36005022401,37287,950,36,005,022401
208,"Census Tract 224.03, Bronx County, New York",36005022403,39519,1029,36,005,022403
209,"Census Tract 224.04, Bronx County, New York",36005022404,46988,1188,36,005,022404
210,"Census Tract 225, Bronx County, New York",36005022500,35000,2101,36,005,022500
211,"Census Tract 227.01, Bronx County, New York",36005022701,32436,1435,36,005,022701
212,"Census Tract 227.02, Bronx County, New York",36005022702,53173,579,36,005,022702
213,"Census Tract 227.03, Bronx County, New York",36005022703,39141,511,36,005,022703
214,"Census Tract 228, Bronx County, New York",36005022800,43977,1957,36,005,022800
215,"Census Tract 229.01, Bronx County, New York",36005022901,27908,1649,36,005,022901
216,"Census Tract 229.02, Bronx County, New York",36005022902,21985,931,36,005,022902
217,"Census Tract 230, Bronx County, New York",36005023000,39402,821,36,005,023000
218,"Census Tract 231, Bronx County, New York",36005023100,27228,395,36,005,023100
219,"Census Tract 232, Bronx County, New York",36005023200,51373,543,36,005,023200
220,"Census Tract 233.01, Bronx County, New York",36005023301,30049,1422,36,005,023301
221,"Census Tract 233.02, Bronx County, New York",36005023302,19696,821,36,005,023302
222,"Census Tract 235.01, Bronx County, New York",36005023501,25463,1017,36,005,023501
223,"Census Tract 235.02, Bronx County, New York",36005023502,22445,1445,36,005,023502
224,"Census Tract 236, Bronx County, New York",36005023600,38913,428,36,005,023600
225,"Census Tract 237.02, Bronx County, New York",36005023702,19490,292,36,005,023702
226,"Census Tract 237.03, Bronx County, New York",36005023703,26439,1306,36,005,023703
227,"Census Tract 237.04, Bronx County, New York",36005023704,22610,1240,36,005,023704
228,"Census Tract 238, Bronx County, New York",36005023800,48368,572,36,005,023800
229,"Census Tract 239, Bronx County, New York",36005023900,19246,2337,36,005,023900
230,"Census Tract 240, Bronx County, New York",36005024000,39219,921,36,005,024000
231,"Census Tract 241, Bronx County, New York",36005024100,25694,1713,36,005,024100
232,"Census Tract 243, Bronx County, New York",36005024300,25983,1836,36,005,024300
233,"Census Tract 244, Bronx County, New York",36005024400,69545,445,36,005,024400
234,"Census Tract 245.01, Bronx County, New York",36005024501,26168,1279,36,005,024501
235,"Census Tract 245.02, Bronx County, New York",36005024502,35256,1071,36,005,024502
236,"Census Tract 246, Bronx County, New York",36005024600,68600,395,36,005,024600
237,"Census Tract 247, Bronx County, New York",36005024700,50600,651,36,005,024700
238,"Census Tract 248, Bronx County, New York",36005024800,60088,769,36,005,024800
239,"Census Tract 249, Bronx County, New York",36005024900,-666666666,0,36,005,024900
240,"Census Tract 250, Bronx County, New York",36005025000,51324,488,36,005,025000
241,"Census Tract 251, Bronx County, New York",36005025100,29254,1810,36,005,025100
242,"Census Tract 252, Bronx County, New York",36005025200,53088,464,36,005,025200
243,"Census Tract 253, Bronx County, New York",36005025300,22324,1845,36,005,025300
244,"Census Tract 254, Bronx County, New York",36005025400,54764,517,36,005,025400
245,"Census Tract 255, Bronx County, New York",36005025500,24430,1837,36,005,025500
246,"Census Tract 256, Bronx County, New York",36005025600,42188,316,36,005,025600
247,"Census Tract 257, Bronx County, New York",36005025700,32941,528,36,005,025700
248,"Census Tract 261, Bronx County, New York",36005026100,58100,325,36,005,026100
249,"Census Tract 263, Bronx County, New York",36005026300,21339,2020,36,005,026300
250,"Census Tract 264, Bronx County, New York",36005026400,56146,1099,36,005,026400
251,"Census Tract 265, Bronx County, New York",36005026500,23968,1873,36,005,026500
252,"Census Tract 266.01, Bronx County, New York",36005026601,54028,1000,36,005,026601
253,"Census Tract 266.02, Bronx County, New York",36005026602,43083,1747,36,005,026602
254,"Census Tract 267.01, Bronx County, New York",36005026701,25936,1241,36,005,026701
255,"Census Tract 267.02, Bronx County, New York",36005026702,31901,2219,36,005,026702
256,"Census Tract 269, Bronx County, New York",36005026900,35083,1230,36,005,026900
257,"Census Tract 273, Bronx County, New York",36005027300,40633,2038,36,005,027300
258,"Census Tract 274.01, Bronx County, New York",36005027401,66500,436,36,005,027401
259,"Census Tract 274.02, Bronx County, New York",36005027402,67206,468,36,005,027402
260,"Census Tract 276, Bronx County, New York",36005027600,-666666666,0,36,005,027600
261,"Census Tract 277, Bronx County, New York",36005027700,30823,1481,36,005,027700
262,"Census Tract 279, Bronx County, New York",36005027900,51667,2053,36,005,027900
263,"Census Tract 281, Bronx County, New York",36005028100,44974,1126,36,005,028100
264,"Census Tract 283, Bronx County, New York",36005028300,38777,1015,36,005,028300
265,"Census Tract 284, Bronx County, New York",36005028400,90170,52,36,005,028400
266,"Census Tract 285, Bronx County, New York",36005028500,44022,1191,36,005,028500
267,"Census Tract 286, Bronx County, New York",36005028600,85096,115,36,005,028600
268,"Census Tract 287, Bronx County, New York",36005028700,44709,882,36,005,028700
269,"Census Tract 288, Bronx County, New York",36005028800,62386,281,36,005,028800
270,"Census Tract 289, Bronx County, New York",36005028900,45968,1475,36,005,028900
271,"Census Tract 293.01, Bronx County, New York",36005029301,100776,257,36,005,029301
272,"Census Tract 293.02, Bronx County, New York",36005029302,80313,1178,36,005,029302
273,"Census Tract 295, Bronx County, New York",36005029500,71936,1118,36,005,029500
274,"Census Tract 296, Bronx County, New York",36005029600,29967,832,36,005,029600
275,"Census Tract 297, Bronx County, New York",36005029700,85859,501,36,005,029700
276,"Census Tract 300, Bronx County, New York",36005030000,51577,1426,36,005,030000
277,"Census Tract 301, Bronx County, New York",36005030100,81705,305,36,005,030100
278,"Census Tract 302, Bronx County, New York",36005030200,51544,1624,36,005,030200
279,"Census Tract 307.01, Bronx County, New York",36005030701,77217,1334,36,005,030701
280,"Census Tract 309, Bronx County, New York",36005030900,86053,564,36,005,030900
281,"Census Tract 310, Bronx County, New York",36005031000,90461,127,36,005,031000
282,"Census Tract 312, Bronx County, New York",36005031200,70750,200,36,005,031200
283,"Census Tract 314, Bronx County, New York",36005031400,72478,119,36,005,031400
284,"Census Tract 316, Bronx County, New York",36005031600,68225,268,36,005,031600
285,"Census Tract 318, Bronx County, New York",36005031800,66736,135,36,005,031800
286,"Census Tract 319, Bronx County, New York",36005031900,-666666666,0,36,005,031900
287,"Census Tract 323, Bronx County, New York",36005032300,69784,766,36,005,032300
288,"Census Tract 324, Bronx County, New York",36005032400,26297,1139,36,005,032400
289,"Census Tract 326, Bronx County, New York",36005032600,68610,371,36,005,032600
290,"Census Tract 328, Bronx County, New York",36005032800,37314,1219,36,005,032800
291,"Census Tract 330, Bronx County, New York",36005033000,41458,1827,36,005,033000
292,"Census Tract 332.01, Bronx County, New York",36005033201,43895,1273,36,005,033201
293,"Census Tract 332.02, Bronx County, New York",36005033202,22625,1290,36,005,033202
294,"Census Tract 334, Bronx County, New York",36005033400,28173,278,36,005,033400
295,"Census Tract 335, Bronx County, New York",36005033500,100111,277,36,005,033500
296,"Census Tract 336, Bronx County, New York",36005033600,28181,2287,36,005,033600
297,"Census Tract 337, Bronx County, New York",36005033700,84071,423,36,005,033700
298,"Census Tract 338, Bronx County, New York",36005033800,42830,979,36,005,033800
299,"Census Tract 340, Bronx County, New York",36005034000,39897,1296,36,005,034000
300,"Census Tract 342, Bronx County, New York",36005034200,70875,227,36,005,034200
301,"Census Tract 343, Bronx County, New York",36005034300,51747,353,36,005,034300
302,"Census Tract 344, Bronx County, New York",36005034400,36726,169,36,005,034400
303,"Census Tract 345, Bronx County, New York",36005034500,70469,802,36,005,034500
304,"Census Tract 348, Bronx County, New York",36005034800,44057,1158,36,005,034800
305,"Census Tract 350, Bronx County, New York",36005035000,65568,255,36,005,035000
306,"Census Tract 351, Bronx County, New York",36005035100,62292,565,36,005,035100
307,"Census Tract 356, Bronx County, New York",36005035600,80571,228,36,005,035600
308,"Census Tract 358, Bronx County, New York",36005035800,60607,839,36,005,035800
309,"Census Tract 359, Bronx County, New York",36005035900,22051,481,36,005,035900
310,"Census Tract 360, Bronx County, New York",36005036000,66275,358,36,005,036000
311,"Census Tract 361, Bronx County, New York",36005036100,14839,1902,36,005,036100
312,"Census Tract 363, Bronx County, New York",36005036300,20664,2163,36,005,036300
313,"Census Tract 364, Bronx County, New York",36005036400,58897,480,36,005,036400
314,"Census Tract 365.01, Bronx County, New York",36005036501,26988,1168,36,005,036501
315,"Census Tract 365.02, Bronx County, New York",36005036502,30938,571,36,005,036502
316,"Census Tract 367, Bronx County, New York",36005036700,17391,503,36,005,036700
317,"Census Tract 368, Bronx County, New York",36005036800,65139,230,36,005,036800
318,"Census Tract 369.01, Bronx County, New York",36005036901,14194,736,36,005,036901
319,"Census Tract 369.02, Bronx County, New York",36005036902,35949,626,36,005,036902
320,"Census Tract 370, Bronx County, New York",36005037000,68194,267,36,005,037000
321,"Census Tract 371, Bronx County, New York",36005037100,20078,1362,36,005,037100
322,"Census Tract 372, Bronx County, New York",36005037200,52107,512,36,005,037200
323,"Census Tract 373, Bronx County, New York",36005037300,27724,1329,36,005,037300
324,"Census Tract 374, Bronx County, New York",36005037400,18813,1199,36,005,037400
325,"Census Tract 375.04, Bronx County, New York",36005037504,19500,1072,36,005,037504
326,"Census Tract 376, Bronx County, New York",36005037600,53750,389,36,005,037600
327,"Census Tract 378, Bronx County, New York",36005037800,44583,827,36,005,037800
328,"Census Tract 379, Bronx County, New York",36005037900,21451,1481,36,005,037900
329,"Census Tract 380, Bronx County, New York",36005038000,35114,1061,36,005,038000
330,"Census Tract 381, Bronx County, New York",36005038100,27500,1981,36,005,038100
331,"Census Tract 382, Bronx County, New York",36005038200,48068,363,36,005,038200
332,"Census Tract 383.01, Bronx County, New York",36005038301,25508,1475,36,005,038301
333,"Census Tract 383.02, Bronx County, New York",36005038302,17839,1783,36,005,038302
334,"Census Tract 385, Bronx County, New York",36005038500,20981,1301,36,005,038500
335,"Census Tract 386, Bronx County, New York",36005038600,41885,1736,36,005,038600
336,"Census Tract 387, Bronx County, New York",36005038700,29398,968,36,005,038700
337,"Census Tract 388, Bronx County, New York",36005038800,36816,414,36,005,038800
338,"Census Tract 389, Bronx County, New York",36005038900,23903,1477,36,005,038900
339,"Census Tract 68, Kings County, New York",36047006800,41989,1369,36,047,006800
340,"Census Tract 69, Kings County, New York",36047006900,87479,1140,36,047,006900
341,"Census Tract 70, Kings County, New York",36047007000,60149,719,36,047,007000
342,"Census Tract 71, Kings County, New York",36047007100,37878,1465,36,047,007100
343,"Census Tract 72, Kings County, New York",36047007200,37333,522,36,047,007200
344,"Census Tract 74, Kings County, New York",36047007400,30805,1344,36,047,007400
345,"Census Tract 75, Kings County, New York",36047007500,82250,1343,36,047,007500
346,"Census Tract 76, Kings County, New York",36047007600,37911,992,36,047,007600
347,"Census Tract 77, Kings County, New York",36047007700,113426,1160,36,047,007700
348,"Census Tract 78, Kings County, New York",36047007800,34542,1305,36,047,007800
349,"Census Tract 80, Kings County, New York",36047008000,27703,972,36,047,008000
350,"Census Tract 82, Kings County, New York",36047008200,52681,1241,36,047,008200
351,"Census Tract 84, Kings County, New York",36047008400,27846,732,36,047,008400
352,"Census Tract 85, Kings County, New York",36047008500,15200,2977,36,047,008500
353,"Census Tract 86, Kings County, New York",36047008600,-666666666,0,36,047,008600
354,"Census Tract 88, Kings County, New York",36047008800,43321,862,36,047,008800
355,"Census Tract 90, Kings County, New York",36047009000,29052,665,36,047,009000
356,"Census Tract 92, Kings County, New York",36047009200,35417,1312,36,047,009200
357,"Census Tract 94, Kings County, New York",36047009400,39830,1098,36,047,009400
358,"Census Tract 96, Kings County, New York",36047009600,44606,1245,36,047,009600
359,"Census Tract 98, Kings County, New York",36047009800,35821,1355,36,047,009800
360,"Census Tract 100, Kings County, New York",36047010000,27434,1480,36,047,010000
361,"Census Tract 101, Kings County, New York",36047010100,50513,957,36,047,010100
362,"Census Tract 102, Kings County, New York",36047010200,37704,1025,36,047,010200
363,"Census Tract 104, Kings County, New York",36047010400,25625,1274,36,047,010400
364,"Census Tract 106, Kings County, New York",36047010600,30459,1151,36,047,010600
